match,teamInnings,battingPos,batsmanName,runs,balls,fours,sixes,SR,out/not_out,id,batsmanrName,Sr
Punjab Kings Vs Titans,Punjab Kings,9,Rishi Dhawan,1,1,0,0,100.00,1,18,Rishi Dhawan,100.0
Punjab Kings Vs Titans,Titans,1,Wriddhiman Saha ,30,19,5,0,157.89,1,18,Wriddhiman Saha ,157.89473684210526
Punjab Kings Vs Titans,Titans,2,Shubman Gill,67,49,7,1,136.73,1,18,Shubman Gill,136.73469387755102
Punjab Kings Vs Titans,Titans,3,Sai Sudharsan,19,20,2,0,95.00,1,18,Sai Sudharsan,95.0
Punjab Kings Vs Titans,Titans,4,Hardik Pandya(c),8,11,1,0,72.72,1,18,Hardik Pandya,72.72727272727273
Punjab Kings Vs Titans,Titans,5,David Miller,17,18,1,0,94.44,0,18,David Miller,94.44444444444444
Punjab Kings Vs Titans,Titans,6,Rahul Tewatia,5,2,1,0,250.00,0,18,Rahul Tewatia,250.0
Sunrisers Vs KKR,Sunrisers,1,Harry Brook,100,55,12,3,181.81,0,19,Harry Brook,181.8181818181818
Sunrisers Vs KKR,Sunrisers,2,Mayank Agarwal,9,13,0,0,69.23,1,19,Mayank Agarwal,69.23076923076923
Sunrisers Vs KKR,Sunrisers,3,Rahul Tripathi,9,4,2,0,225.00,1,19,Rahul Tripathi,225.0
Sunrisers Vs KKR,Sunrisers,4,Aiden Markram(c),50,26,2,5,192.30,1,19,Aiden Markram,192.30769230769232
Sunrisers Vs KKR,Sunrisers,5,Abhishek Sharma,32,17,3,2,188.23,1,19,Abhishek Sharma,188.23529411764704
Sunrisers Vs KKR,Sunrisers,6,Heinrich Klaasen ,16,6,2,1,266.66,0,19,Heinrich Klaasen ,266.66666666666663
Sunrisers Vs KKR,KKR,1,Rahmanullah Gurbaz ,0,3,0,0,0.00,1,19,Rahmanullah Gurbaz ,0.0
Sunrisers Vs KKR,KKR,2,Narayan Jagadeesan,36,21,5,1,171.42,1,19,Narayan Jagadeesan,171.42857142857142
Sunrisers Vs KKR,KKR,3,Venkatesh Iyer,10,11,2,0,90.90,1,19,Venkatesh Iyer,90.9090909090909
Sunrisers Vs KKR,KKR,4,Sunil Narine,0,1,0,0,0.00,1,19,Sunil Narine,0.0
Sunrisers Vs KKR,KKR,5,Nitish Rana(c),75,41,5,6,182.92,1,19,Nitish Rana,182.9268292682927
Sunrisers Vs KKR,KKR,6,Andre Russell,3,6,0,0,50.00,1,19,Andre Russell,50.0
Sunrisers Vs KKR,KKR,7,Rinku Singh,58,31,4,4,187.09,0,19,Rinku Singh,187.09677419354838
Sunrisers Vs KKR,KKR,8,Shardul Thakur,12,7,2,0,171.42,1,19,Shardul Thakur,171.42857142857142
Sunrisers Vs KKR,KKR,9,Umesh Yadav,1,1,0,0,100.00,0,19,Umesh Yadav,100.0
RCB Vs Capitals,RCB,1,Virat Kohli,50,34,6,1,147.05,1,20,Virat Kohli,147.05882352941177
RCB Vs Capitals,RCB,2,Faf du Plessis(c),22,16,3,1,137.50,1,20,Faf du Plessis,137.5
RCB Vs Capitals,RCB,3,Mahipal Lomror,26,18,0,2,144.44,1,20,Mahipal Lomror,144.44444444444443
RCB Vs Capitals,RCB,4,Glenn Maxwell,24,14,0,3,171.42,1,20,Glenn Maxwell,171.42857142857142
RCB Vs Capitals,RCB,5,Harshal Patel,6,4,0,1,150.00,1,20,Harshal Patel,150.0
RCB Vs Capitals,RCB,6,Shahbaz Ahmed,20,12,3,0,166.66,0,20,Shahbaz Ahmed,166.66666666666669
RCB Vs Capitals,RCB,7,Dinesh Karthik ,0,1,0,0,0.00,1,20,Dinesh Karthik ,0.0
RCB Vs Capitals,RCB,8,Anuj Rawat,15,22,1,0,68.18,0,20,Anuj Rawat,68.18181818181817
RCB Vs Capitals,Capitals,1,David Warner(c),19,13,4,0,146.15,1,20,David Warner,146.15384615384613
RCB Vs Capitals,Capitals,2,Prithvi Shaw,0,2,0,0,0.00,1,20,Prithvi Shaw,0.0
RCB Vs Capitals,Capitals,3,Mitchell Marsh,0,4,0,0,0.00,1,20,Mitchell Marsh,0.0
RCB Vs Capitals,Capitals,4,Yash Dhull,1,4,0,0,25.00,1,20,Yash Dhull,25.0
RCB Vs Capitals,Capitals,5,Manish Pandey,50,38,5,1,131.57,1,20,Manish Pandey,131.57894736842107
RCB Vs Capitals,Capitals,6,Abishek Porel ,5,8,0,0,62.50,1,20,Abishek Porel ,62.5
RCB Vs Capitals,Capitals,7,Axar Patel,21,14,3,0,150.00,1,20,Axar Patel,150.0
RCB Vs Capitals,Capitals,8,Aman Hakim Khan,18,10,1,1,180.00,1,20,Aman Hakim Khan,180.0
RCB Vs Capitals,Capitals,9,Lalit Yadav,4,7,0,0,57.14,1,20,Lalit Yadav,57.14285714285714
RCB Vs Capitals,Capitals,10,Anrich Nortje,23,14,4,0,164.28,0,20,Anrich Nortje,164.28571428571428
RCB Vs Capitals,Capitals,11,Kuldeep Yadav,7,6,1,0,116.66,0,20,Kuldeep Yadav,116.66666666666667
Super Giants Vs Punjab Kings,Super Giants,1,KL Rahul(c),74,56,8,1,132.14,1,21,KL Rahul,132.14285714285714
Super Giants Vs Punjab Kings,Super Giants,2,Kyle Mayers,29,23,1,3,126.08,1,21,Kyle Mayers,126.08695652173914
Super Giants Vs Punjab Kings,Super Giants,3,Deepak Hooda,2,3,0,0,66.66,1,21,Deepak Hooda,66.66666666666666
Super Giants Vs Punjab Kings,Super Giants,4,Krunal Pandya,18,17,2,0,105.88,1,21,Krunal Pandya,105.88235294117648
Super Giants Vs Punjab Kings,Super Giants,5,Nicholas Pooran ,0,1,0,0,0.00,1,21,Nicholas Pooran ,0.0
Super Giants Vs Punjab Kings,Super Giants,6,Marcus Stoinis,15,11,0,2,136.36,1,21,Marcus Stoinis,136.36363636363635
Super Giants Vs Punjab Kings,Super Giants,7,Ayush Badoni,5,6,0,0,83.33,0,21,Ayush Badoni,83.33333333333334
Super Giants Vs Punjab Kings,Super Giants,8,Krishnappa Gowtham,1,2,0,0,50.00,1,21,Krishnappa Gowtham,50.0
Super Giants Vs Punjab Kings,Super Giants,9,Yudhvir Singh,0,1,0,0,0.00,1,21,Yudhvir Singh,0.0
Super Giants Vs Punjab Kings,Super Giants,10,Ravi Bishnoi,3,1,0,0,300.00,0,21,Ravi Bishnoi,300.0
Super Giants Vs Punjab Kings,Punjab Kings,1,Atharva Taide,0,3,0,0,0.00,1,21,Atharva Taide,0.0
Super Giants Vs Punjab Kings,Punjab Kings,2,Prabhsimran Singh,4,4,1,0,100.00,1,21,Prabhsimran Singh,100.0
Super Giants Vs Punjab Kings,Punjab Kings,3,Matthew Short,34,22,5,1,154.54,1,21,Matthew Short,154.54545454545453
Super Giants Vs Punjab Kings,Punjab Kings,4,Harpreet Singh,22,22,3,0,100.00,1,21,Harpreet Singh,100.0
Super Giants Vs Punjab Kings,Punjab Kings,5,Sikandar Raza,57,41,4,3,139.02,1,21,Sikandar Raza,139.02439024390242
Super Giants Vs Punjab Kings,Punjab Kings,6,Sam Curran(c),6,6,1,0,100.00,1,21,Sam Curran,100.0
Super Giants Vs Punjab Kings,Punjab Kings,7,Jitesh Sharma ,2,4,0,0,50.00,1,21,Jitesh Sharma ,50.0
Super Giants Vs Punjab Kings,Punjab Kings,8,M Shahrukh Khan,23,10,1,2,230.00,0,21,M Shahrukh Khan,229.99999999999997
Super Giants Vs Punjab Kings,Punjab Kings,9,Harpreet Brar,6,4,1,0,150.00,1,21,Harpreet Brar,150.0
Super Giants Vs Punjab Kings,Punjab Kings,10,Kagiso Rabada,0,1,0,0,0.00,0,21,Kagiso Rabada,0.0
KKR Vs Mumbai,KKR,1,Rahmanullah Gurbaz ,8,12,0,0,66.66,1,22,Rahmanullah Gurbaz ,66.66666666666666
KKR Vs Mumbai,KKR,2,Narayan Jagadeesan,0,5,0,0,0.00,1,22,Narayan Jagadeesan,0.0
KKR Vs Mumbai,KKR,3,Venkatesh Iyer,104,51,6,9,203.92,1,22,Venkatesh Iyer,203.92156862745097
KKR Vs Mumbai,KKR,4,Nitish Rana(c),5,10,0,0,50.00,1,22,Nitish Rana,50.0
KKR Vs Mumbai,KKR,5,Shardul Thakur,13,11,1,0,118.18,1,22,Shardul Thakur,118.18181818181819
KKR Vs Mumbai,KKR,6,Rinku Singh,18,18,2,0,100.00,1,22,Rinku Singh,100.0
KKR Vs Mumbai,KKR,7,Andre Russell,21,11,3,1,190.90,0,22,Andre Russell,190.9090909090909
KKR Vs Mumbai,KKR,8,Sunil Narine,2,2,0,0,100.00,0,22,Sunil Narine,100.0
KKR Vs Mumbai,Mumbai,1,Rohit Sharma,20,13,1,2,153.84,1,22,Rohit Sharma,153.84615384615387
KKR Vs Mumbai,Mumbai,2,Ishan Kishan ,58,25,5,5,232.00,1,22,Ishan Kishan ,231.99999999999997
KKR Vs Mumbai,Mumbai,3,Suryakumar Yadav(c),43,25,4,3,172.00,1,22,Suryakumar Yadav,172.0
KKR Vs Mumbai,Mumbai,4,Tilak Varma,30,25,3,1,120.00,1,22,Tilak Varma,120.0
KKR Vs Mumbai,Mumbai,5,Tim David,24,13,1,2,184.61,0,22,Tim David,184.6153846153846
KKR Vs Mumbai,Mumbai,6,Nehal Wadhera,6,4,1,0,150.00,1,22,Nehal Wadhera,150.0
KKR Vs Mumbai,Mumbai,7,Cameron Green,1,1,0,0,100.00,0,22,Cameron Green,100.0
Titans Vs Royals,Titans,1,Wriddhiman Saha ,4,3,1,0,133.33,1,23,Wriddhiman Saha ,133.33333333333331
Titans Vs Royals,Titans,2,Shubman Gill,45,34,4,1,132.35,1,23,Shubman Gill,132.35294117647058
Titans Vs Royals,Titans,3,Sai Sudharsan,20,19,2,0,105.26,1,23,Sai Sudharsan,105.26315789473684
Titans Vs Royals,Titans,4,Hardik Pandya(c),28,19,3,1,147.36,1,23,Hardik Pandya,147.36842105263156
Titans Vs Royals,Titans,5,David Miller,46,30,3,2,153.33,1,23,David Miller,153.33333333333334
Titans Vs Royals,Titans,6,Abhinav Manohar,27,13,0,3,207.69,1,23,Abhinav Manohar,207.6923076923077
Titans Vs Royals,Titans,7,Rahul Tewatia,1,1,0,0,100.00,0,23,Rahul Tewatia,100.0
Titans Vs Royals,Titans,8,Rashid Khan,1,1,0,0,100.00,1,23,Rashid Khan,100.0
Titans Vs Royals,Titans,9,Alzarri Joseph,0,0,0,0,-,0,23,Alzarri Joseph,0.0
Titans Vs Royals,Royals,1,Yashasvi Jaiswal,1,7,0,0,14.28,1,23,Yashasvi Jaiswal,14.285714285714285
Titans Vs Royals,Royals,2,Jos Buttler,0,5,0,0,0.00,1,23,Jos Buttler,0.0
Titans Vs Royals,Royals,3,Devdutt Padikkal,26,25,2,2,104.00,1,23,Devdutt Padikkal,104.0
Titans Vs Royals,Royals,4,Sanju Samson(c) ,60,32,3,6,187.50,1,23,Sanju Samson ,187.5
Titans Vs Royals,Royals,5,Riyan Parag,5,7,0,0,71.42,1,23,Riyan Parag,71.42857142857143
Titans Vs Royals,Royals,6,Shimron Hetmyer,56,26,2,5,215.38,0,23,Shimron Hetmyer,215.3846153846154
Titans Vs Royals,Royals,7,Dhruv Jurel,18,10,2,1,180.00,1,23,Dhruv Jurel,180.0
Titans Vs Royals,Royals,8,Ravichandran Ashwin,10,3,1,1,333.33,1,23,Ravichandran Ashwin,333.33333333333337
Titans Vs Royals,Royals,9,Trent Boult,0,1,0,0,0.00,0,23,Trent Boult,0.0
Super Kings Vs RCB,Super Kings,1,Ruturaj Gaikwad,3,6,0,0,50.00,1,24,Ruturaj Gaikwad,50.0
Super Kings Vs RCB,Super Kings,2,Devon Conway,83,45,6,6,184.44,1,24,Devon Conway,184.44444444444446
Super Kings Vs RCB,Super Kings,3,Ajinkya Rahane,37,20,3,2,185.00,1,24,Ajinkya Rahane,185.0
Super Kings Vs RCB,Super Kings,4,Shivam Dube,52,27,2,5,192.59,1,24,Shivam Dube,192.59259259259258
Super Kings Vs RCB,Super Kings,5,Ambati Rayudu,14,6,1,1,233.33,1,24,Ambati Rayudu,233.33333333333334
Super Kings Vs RCB,Super Kings,6,Moeen Ali,19,9,0,2,211.11,0,24,Moeen Ali,211.11111111111111
Super Kings Vs RCB,Super Kings,7,Ravindra Jadeja,10,8,0,1,125.00,1,24,Ravindra Jadeja,125.0
Super Kings Vs RCB,Super Kings,8,MS Dhoni(c) ,1,1,0,0,100.00,0,24,MS Dhoni ,100.0
Super Kings Vs RCB,RCB,1,Virat Kohli,6,4,1,0,150.00,1,24,Virat Kohli,150.0
Super Kings Vs RCB,RCB,2,Faf du Plessis(c),62,33,5,4,187.87,1,24,Faf du Plessis,187.87878787878788
Super Kings Vs RCB,RCB,3,Mahipal Lomror,0,5,0,0,0.00,1,24,Mahipal Lomror,0.0
Super Kings Vs RCB,RCB,4,Glenn Maxwell,76,36,3,8,211.11,1,24,Glenn Maxwell,211.11111111111111
Super Kings Vs RCB,RCB,5,Shahbaz Ahmed,12,10,0,1,120.00,1,24,Shahbaz Ahmed,120.0
Super Kings Vs RCB,RCB,6,Dinesh Karthik ,28,14,3,1,200.00,1,24,Dinesh Karthik ,200.0
Super Kings Vs RCB,RCB,7,Suyash Prabhudessai,19,11,0,2,172.72,1,24,Suyash Prabhudessai,172.72727272727272
Super Kings Vs RCB,RCB,8,Wayne Parnell,2,5,0,0,40.00,1,24,Wayne Parnell,40.0
Super Kings Vs RCB,RCB,9,Wanindu Hasaranga,2,2,0,0,100.00,0,24,Wanindu Hasaranga,100.0
Mumbai Vs Sunrisers,Mumbai,1,Rohit Sharma(c),28,18,6,0,155.55,1,25,Rohit Sharma,155.55555555555557
Mumbai Vs Sunrisers,Mumbai,2,Ishan Kishan ,38,31,3,2,122.58,1,25,Ishan Kishan ,122.58064516129032
Mumbai Vs Sunrisers,Mumbai,3,Cameron Green,64,40,6,2,160.00,0,25,Cameron Green,160.0
Mumbai Vs Sunrisers,Mumbai,4,Suryakumar Yadav,7,3,0,1,233.33,1,25,Suryakumar Yadav,233.33333333333334
Mumbai Vs Sunrisers,Mumbai,5,Tilak Varma,37,17,2,4,217.64,1,25,Tilak Varma,217.6470588235294
Mumbai Vs Sunrisers,Mumbai,6,Tim David,16,11,2,0,145.45,1,25,Tim David,145.45454545454547
Mumbai Vs Sunrisers,Sunrisers,1,Harry Brook,9,7,2,0,128.57,1,25,Harry Brook,128.57142857142858
Mumbai Vs Sunrisers,Sunrisers,2,Mayank Agarwal,48,41,4,1,117.07,1,25,Mayank Agarwal,117.07317073170731
Mumbai Vs Sunrisers,Sunrisers,3,Rahul Tripathi,7,5,1,0,140.00,1,25,Rahul Tripathi,140.0
Mumbai Vs Sunrisers,Sunrisers,4,Aiden Markram(c),22,17,1,1,129.41,1,25,Aiden Markram,129.41176470588235
Mumbai Vs Sunrisers,Sunrisers,5,Abhishek Sharma,1,2,0,0,50.00,1,25,Abhishek Sharma,50.0
Mumbai Vs Sunrisers,Sunrisers,6,Heinrich Klaasen ,36,16,4,2,225.00,1,25,Heinrich Klaasen ,225.0
Mumbai Vs Sunrisers,Sunrisers,7,Abdul Samad,9,12,1,0,75.00,1,25,Abdul Samad,75.0
Mumbai Vs Sunrisers,Sunrisers,8,Marco Jansen,13,6,3,0,216.66,1,25,Marco Jansen,216.66666666666666
Mumbai Vs Sunrisers,Sunrisers,9,Washington Sundar,10,6,2,0,166.66,1,25,Washington Sundar,166.66666666666669
Mumbai Vs Sunrisers,Sunrisers,10,Bhuvneshwar Kumar,2,5,0,0,40.00,1,25,Bhuvneshwar Kumar,40.0
Mumbai Vs Sunrisers,Sunrisers,11,Mayank Markande,2,2,0,0,100.00,0,25,Mayank Markande,100.0
Super Giants Vs Royals,Super Giants,1,KL Rahul(c),39,32,4,1,121.87,1,26,KL Rahul,121.875
Super Giants Vs Royals,Super Giants,2,Kyle Mayers,51,42,4,3,121.42,1,26,Kyle Mayers,121.42857142857142
Super Giants Vs Royals,Super Giants,3,Ayush Badoni,1,4,0,0,25.00,1,26,Ayush Badoni,25.0
Super Giants Vs Royals,Super Giants,4,Deepak Hooda,2,4,0,0,50.00,1,26,Deepak Hooda,50.0
Super Giants Vs Royals,Super Giants,5,Marcus Stoinis,21,16,2,0,131.25,1,26,Marcus Stoinis,131.25
Super Giants Vs Royals,Super Giants,6,Nicholas Pooran ,29,20,2,1,145.00,1,26,Nicholas Pooran ,145.0
Super Giants Vs Royals,Super Giants,7,Krunal Pandya,4,2,1,0,200.00,0,26,Krunal Pandya,200.0
Super Giants Vs Royals,Super Giants,8,Yudhvir Singh,1,1,0,0,100.00,1,26,Yudhvir Singh,100.0
Super Giants Vs Royals,Royals,1,Yashasvi Jaiswal,44,35,4,2,125.71,1,26,Yashasvi Jaiswal,125.71428571428571
Super Giants Vs Royals,Royals,2,Jos Buttler,40,41,4,1,97.56,1,26,Jos Buttler,97.5609756097561
Super Giants Vs Royals,Royals,3,Sanju Samson(c) ,2,4,0,0,50.00,1,26,Sanju Samson ,50.0
Super Giants Vs Royals,Royals,4,Devdutt Padikkal,26,21,4,0,123.80,1,26,Devdutt Padikkal,123.80952380952381
Super Giants Vs Royals,Royals,5,Shimron Hetmyer,2,5,0,0,40.00,1,26,Shimron Hetmyer,40.0
Super Giants Vs Royals,Royals,6,Riyan Parag,15,12,1,1,125.00,0,26,Riyan Parag,125.0
Super Giants Vs Royals,Royals,7,Dhruv Jurel,0,1,0,0,0.00,1,26,Dhruv Jurel,0.0
Super Giants Vs Royals,Royals,8,Ravichandran Ashwin,3,2,0,0,150.00,0,26,Ravichandran Ashwin,150.0
RCB Vs Punjab Kings,RCB,1,Virat Kohli(c),59,47,5,1,125.53,1,27,Virat Kohli,125.53191489361701
RCB Vs Punjab Kings,RCB,2,Faf du Plessis,84,56,5,5,150.00,1,27,Faf du Plessis,150.0
RCB Vs Punjab Kings,RCB,3,Glenn Maxwell,0,1,0,0,0.00,1,27,Glenn Maxwell,0.0
RCB Vs Punjab Kings,RCB,4,Dinesh Karthik ,7,5,1,0,140.00,1,27,Dinesh Karthik ,140.0
RCB Vs Punjab Kings,RCB,5,Mahipal Lomror,7,9,1,0,77.77,0,27,Mahipal Lomror,77.77777777777779
RCB Vs Punjab Kings,RCB,6,Shahbaz Ahmed,5,3,0,0,166.66,0,27,Shahbaz Ahmed,166.66666666666669
RCB Vs Punjab Kings,Punjab Kings,1,Atharva Taide,4,2,1,0,200.00,1,27,Atharva Taide,200.0
RCB Vs Punjab Kings,Punjab Kings,2,Prabhsimran Singh,46,30,3,4,153.33,1,27,Prabhsimran Singh,153.33333333333334
RCB Vs Punjab Kings,Punjab Kings,3,Matthew Short,8,7,0,1,114.28,1,27,Matthew Short,114.28571428571428
RCB Vs Punjab Kings,Punjab Kings,4,Liam Livingstone,2,4,0,0,50.00,1,27,Liam Livingstone,50.0
RCB Vs Punjab Kings,Punjab Kings,5,Harpreet Singh,13,9,1,1,144.44,1,27,Harpreet Singh,144.44444444444443
RCB Vs Punjab Kings,Punjab Kings,6,Sam Curran(c),10,12,1,0,83.33,1,27,Sam Curran,83.33333333333334
RCB Vs Punjab Kings,Punjab Kings,7,Jitesh Sharma ,41,27,2,3,151.85,1,27,Jitesh Sharma ,151.85185185185185
RCB Vs Punjab Kings,Punjab Kings,8,M Shahrukh Khan,7,5,0,1,140.00,1,27,M Shahrukh Khan,140.0
RCB Vs Punjab Kings,Punjab Kings,9,Harpreet Brar,13,13,1,0,100.00,1,27,Harpreet Brar,100.0
RCB Vs Punjab Kings,Punjab Kings,10,Nathan Ellis,1,2,0,0,50.00,1,27,Nathan Ellis,50.0
RCB Vs Punjab Kings,Punjab Kings,11,Arshdeep Singh,0,0,0,0,-,0,27,Arshdeep Singh,0.0
KKR Vs Capitals,KKR,1,Jason Roy,43,39,5,1,110.25,1,28,Jason Roy,110.25641025641026
KKR Vs Capitals,KKR,2,Litton Das ,4,4,1,0,100.00,1,28,Litton Das ,100.0
KKR Vs Capitals,KKR,3,Venkatesh Iyer,0,2,0,0,0.00,1,28,Venkatesh Iyer,0.0
KKR Vs Capitals,KKR,4,Nitish Rana(c),4,7,1,0,57.14,1,28,Nitish Rana,57.14285714285714
KKR Vs Capitals,KKR,5,Mandeep Singh,12,11,0,1,109.09,1,28,Mandeep Singh,109.09090909090908
KKR Vs Capitals,KKR,6,Rinku Singh,6,8,1,0,75.00,1,28,Rinku Singh,75.0
KKR Vs Capitals,KKR,7,Sunil Narine,4,6,1,0,66.66,1,28,Sunil Narine,66.66666666666666
KKR Vs Capitals,KKR,8,Andre Russell,38,31,1,4,122.58,0,28,Andre Russell,122.58064516129032
KKR Vs Capitals,KKR,9,Anukul Roy,0,1,0,0,0.00,1,28,Anukul Roy,0.0
KKR Vs Capitals,KKR,10,Umesh Yadav,3,5,0,0,60.00,1,28,Umesh Yadav,60.0
KKR Vs Capitals,KKR,11,Varun Chakravarthy,1,6,0,0,16.66,1,28,Varun Chakravarthy,16.666666666666664
KKR Vs Capitals,Capitals,1,David Warner(c),57,41,11,0,139.02,1,28,David Warner,139.02439024390242
KKR Vs Capitals,Capitals,2,Prithvi Shaw,13,11,2,0,118.18,1,28,Prithvi Shaw,118.18181818181819
KKR Vs Capitals,Capitals,3,Mitchell Marsh,2,9,0,0,22.22,1,28,Mitchell Marsh,22.22222222222222
KKR Vs Capitals,Capitals,4,Phil Salt ,5,3,1,0,166.66,1,28,Phil Salt ,166.66666666666669
KKR Vs Capitals,Capitals,5,Manish Pandey,21,23,2,0,91.30,1,28,Manish Pandey,91.30434782608695
KKR Vs Capitals,Capitals,6,Axar Patel,19,22,1,0,86.36,0,28,Axar Patel,86.36363636363636
KKR Vs Capitals,Capitals,7,Aman Hakim Khan,0,2,0,0,0.00,1,28,Aman Hakim Khan,0.0
KKR Vs Capitals,Capitals,8,Lalit Yadav,4,7,0,0,57.14,0,28,Lalit Yadav,57.14285714285714
Sunrisers Vs Super Kings,Sunrisers,1,Harry Brook,18,13,3,0,138.46,1,29,Harry Brook,138.46153846153845
Sunrisers Vs Super Kings,Sunrisers,2,Abhishek Sharma,34,26,3,1,130.76,1,29,Abhishek Sharma,130.76923076923077
Sunrisers Vs Super Kings,Sunrisers,3,Rahul Tripathi,21,21,1,1,100.00,1,29,Rahul Tripathi,100.0
Sunrisers Vs Super Kings,Sunrisers,4,Aiden Markram(c),12,12,1,0,100.00,1,29,Aiden Markram,100.0
Sunrisers Vs Super Kings,Sunrisers,5,Heinrich Klaasen ,17,16,1,0,106.25,1,29,Heinrich Klaasen ,106.25
Sunrisers Vs Super Kings,Sunrisers,6,Mayank Agarwal,2,4,0,0,50.00,1,29,Mayank Agarwal,50.0
Sunrisers Vs Super Kings,Sunrisers,7,Marco Jansen,17,22,1,0,77.27,0,29,Marco Jansen,77.27272727272727
Sunrisers Vs Super Kings,Sunrisers,8,Washington Sundar,9,6,1,0,150.00,1,29,Washington Sundar,150.0
Sunrisers Vs Super Kings,Super Kings,1,Ruturaj Gaikwad,35,30,2,0,116.66,1,29,Ruturaj Gaikwad,116.66666666666667
Sunrisers Vs Super Kings,Super Kings,2,Devon Conway,77,57,12,1,135.08,0,29,Devon Conway,135.08771929824562
Sunrisers Vs Super Kings,Super Kings,3,Ajinkya Rahane,9,10,0,0,90.00,1,29,Ajinkya Rahane,90.0
Sunrisers Vs Super Kings,Super Kings,4,Ambati Rayudu,9,9,1,0,100.00,1,29,Ambati Rayudu,100.0
Sunrisers Vs Super Kings,Super Kings,5,Moeen Ali,6,6,1,0,100.00,0,29,Moeen Ali,100.0
Titans Vs Super Giants,Titans,1,Wriddhiman Saha ,47,37,6,0,127.02,1,30,Wriddhiman Saha ,127.02702702702702
Titans Vs Super Giants,Titans,2,Shubman Gill,0,2,0,0,0.00,1,30,Shubman Gill,0.0
Titans Vs Super Giants,Titans,3,Hardik Pandya(c),66,50,2,4,132.00,1,30,Hardik Pandya,132.0
Titans Vs Super Giants,Titans,4,Abhinav Manohar,3,5,0,0,60.00,1,30,Abhinav Manohar,60.0
Titans Vs Super Giants,Titans,5,Vijay Shankar,10,12,1,0,83.33,1,30,Vijay Shankar,83.33333333333334
Titans Vs Super Giants,Titans,6,David Miller,6,12,0,0,50.00,1,30,David Miller,50.0
Titans Vs Super Giants,Titans,7,Rahul Tewatia,2,2,0,0,100.00,0,30,Rahul Tewatia,100.0
Titans Vs Super Giants,Super Giants,1,KL Rahul(c),68,61,8,0,111.47,1,30,KL Rahul,111.47540983606557
Titans Vs Super Giants,Super Giants,2,Kyle Mayers,24,19,2,1,126.31,1,30,Kyle Mayers,126.3157894736842
Titans Vs Super Giants,Super Giants,3,Krunal Pandya,23,23,2,1,100.00,1,30,Krunal Pandya,100.0
Titans Vs Super Giants,Super Giants,4,Nicholas Pooran ,1,7,0,0,14.28,1,30,Nicholas Pooran ,14.285714285714285
Titans Vs Super Giants,Super Giants,5,Ayush Badoni,8,6,0,0,133.33,1,30,Ayush Badoni,133.33333333333331
Titans Vs Super Giants,Super Giants,6,Marcus Stoinis,0,1,0,0,0.00,1,30,Marcus Stoinis,0.0
Titans Vs Super Giants,Super Giants,7,Deepak Hooda,2,2,0,0,100.00,1,30,Deepak Hooda,100.0
Titans Vs Super Giants,Super Giants,8,Prerak Mankad,0,0,0,0,-,0,30,Prerak Mankad,0.0
Titans Vs Super Giants,Super Giants,9,Ravi Bishnoi,0,1,0,0,0.00,0,30,Ravi Bishnoi,0.0
Punjab Kings Vs Mumbai,Punjab Kings,1,Matthew Short,11,10,2,0,110.00,1,31,Matthew Short,110.00000000000001
Punjab Kings Vs Mumbai,Punjab Kings,2,Prabhsimran Singh,26,17,1,2,152.94,1,31,Prabhsimran Singh,152.94117647058823
Punjab Kings Vs Mumbai,Punjab Kings,3,Atharva Taide,29,17,3,1,170.58,1,31,Atharva Taide,170.58823529411765
Punjab Kings Vs Mumbai,Punjab Kings,4,Liam Livingstone,10,12,0,1,83.33,1,31,Liam Livingstone,83.33333333333334
Punjab Kings Vs Mumbai,Punjab Kings,5,Harpreet Singh,41,28,4,2,146.42,1,31,Harpreet Singh,146.42857142857142
Punjab Kings Vs Mumbai,Punjab Kings,6,Sam Curran(c),55,29,5,4,189.65,1,31,Sam Curran,189.6551724137931
Punjab Kings Vs Mumbai,Punjab Kings,7,Jitesh Sharma ,25,7,0,4,357.14,1,31,Jitesh Sharma ,357.14285714285717
Punjab Kings Vs Mumbai,Punjab Kings,8,M Shahrukh Khan,0,0,0,0,-,0,31,M Shahrukh Khan,0.0
Punjab Kings Vs Mumbai,Punjab Kings,9,Harpreet Brar,5,2,1,0,250.00,1,31,Harpreet Brar,250.0
Punjab Kings Vs Mumbai,Mumbai,1,Rohit Sharma(c),44,27,4,3,162.96,1,31,Rohit Sharma,162.96296296296296
Punjab Kings Vs Mumbai,Mumbai,2,Ishan Kishan ,1,4,0,0,25.00,1,31,Ishan Kishan ,25.0
Punjab Kings Vs Mumbai,Mumbai,3,Cameron Green,67,43,6,3,155.81,1,31,Cameron Green,155.8139534883721
Punjab Kings Vs Mumbai,Mumbai,4,Suryakumar Yadav,57,26,7,3,219.23,1,31,Suryakumar Yadav,219.23076923076925
Punjab Kings Vs Mumbai,Mumbai,5,Tim David,25,13,0,2,192.30,0,31,Tim David,192.30769230769232
Punjab Kings Vs Mumbai,Mumbai,6,Tilak Varma,3,4,0,0,75.00,1,31,Tilak Varma,75.0
Punjab Kings Vs Mumbai,Mumbai,7,Nehal Wadhera,0,1,0,0,0.00,1,31,Nehal Wadhera,0.0
Punjab Kings Vs Mumbai,Mumbai,8,Jofra Archer,1,2,0,0,50.00,0,31,Jofra Archer,50.0
RCB Vs Royals,RCB,1,Virat Kohli(c),0,1,0,0,0.00,1,32,Virat Kohli,0.0
